school,homepage,name,areas
University of Edinburgh,http://www.dcs.ed.ac.uk/~mob,Michael F. P. O'Boyle,"[""hpc"",""robotics"",""arch"",""plan"",""mlmining""]"
Rutgers University,http://parashar.rutgers.edu/,Manish Parashar,"[""hpc""]"
Michigan State University,http://www.cse.msu.edu/~glxing/,Guoliang Xing,"[""mobile"",""chi"",""comm""]"
TU Dresden,https://mg.inf.tu-dresden.de/mitarbeiter/rainer-groh,Rainer Groh,
University of Georgia,http://cobweb.cs.uga.edu/~cai/,Liming Cai,
University of Michigan,https://web.eecs.umich.edu/~rdreslin/,Ronald G. Dreslinski,"[""hpc"",""arch"",""da""]"
Clemson University,https://people.cs.clemson.edu/~luofeng/,Feng Luo,
Pennsylvania State University,http://www.cse.psu.edu/~rua1/,Raj Acharya,"[""vision""]"
University of Kansas,http://www.ittc.ku.edu/~kulkarni/,Prasad Kulkarni,
University of North Carolina,https://www.cs.unc.edu/~ron/,Ron Alterovitz,"[""ai"",""graph"",""robotics"",""vision""]"
Arizona State University,https://cidse.engineering.asu.edu/directory/tsai-wei-tek/,Wei-Tek Tsai,
University of Texas - Dallas,http://www.utdallas.edu/~muratk/,Murat Kantarcioglu,"[""mlmining"",""sec"",""mod""]"
University of Edinburgh,http://alopez.github.io/,Adam Lopez,"[""nlp""]"
Texas A&M University,http://srl.tamu.edu/,Tracy Hammond,"[""ai"",""chi""]"
Brigham Young University,https://www.researchgate.net/profile/Yiu-kai_Ng,Yiu-Kai Ng,"[""ir"",""mod""]"
Virginia Tech,http://people.cs.vt.edu/danfeng/,Danfeng (Daphne) Yao,"[""comm""]"
Washington State University,http://www.eecs.wsu.edu/~sji/,Shuiwang Ji,"[""ai"",""vision"",""mlmining""]"
University of Athens,http://cgi.di.uoa.gr/~mema/,Mema Roussopoulos,"[""comm"",""ops""]"
University of Bristol,https://www.cs.bris.ac.uk/~ian/,Ian Holyer,"[""ir""]"
University of Illinois at Urbana-Champaign,http://web.engr.illinois.edu/~jianpeng/,Jian Peng 0001,"[""bio"",""mlmining""]"
Polytechnic University of Catalonia,http://www.google.com/search?q=Jos%C3%A9%20M.%20Cela%20Polytechnic%20University%20of%20Catalonia&btnI,José M. Cela,
University of Waterloo,https://cs.uwaterloo.ca/~shai/,Shai Ben-David,"[""ai"",""mlmining"",""mod""]"
ETH Zurich,http://people.csail.mit.edu/ghaffari/,Mohsen Ghaffari,"[""act""]"
Concordia University,http://www.google.com/search?q=Tien%20Dai%20Bui%20Concordia%20University&btnI,Tien Dai Bui,
